timestamp,type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
2025-08-13 17:35:39.828670,CSI_DATA,361,1a:00:00:00:00:00,-41,11,0,0,0,0,0,0,0,0,0,-96,0,1,0,61749830,0,31,0,128,0,"[0,0,5,-14,5,-15,5,-14,5,-14,4,-14,4,-13,3,-13,3,-13,2,-12,2,-13,1,-13,1,-12,1,-13,0,-13,0,-13,0,-13,0,-14,1,-13,1,-14,2,-13,2,-13,3,-13,3,-12,4,-12,4,-11,5,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-11,3,-11,4,-12,5,-11,5,-11,6,-11,6,-11,7,-11,7,-11,7,-10,7,-11,7,-10,7,-11,6,-11,6,-11,6,-11,5,-11,5,-12,5,-12,5,-13,5,-13,5,-14,4,-14,4,-15,5,-14,5,-15]"
2025-08-13 17:35:39.861421,CSI_DATA,362,1a:00:00:00:00:00,-41,11,0,0,0,0,0,0,0,0,0,-96,0,1,0,61951186,0,31,0,128,0,"[0,0,-15,-3,-14,-3,-14,-4,-14,-3,-14,-3,-13,-3,-13,-2,-12,-2,-12,-1,-12,-1,-12,0,-12,0,-12,0,-12,1,-12,1,-12,1,-12,1,-13,1,-13,0,-13,0,-13,-1,-12,-1,-12,-2,-12,-2,-11,-3,-11,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,-2,-11,-3,-11,-3,-11,-4,-11,-4,-12,-5,-11,-6,-11,-6,-11,-6,-11,-6,-11,-6,-11,-6,-11,-6,-11,-6,-12,-5,-11,-5,-12,-5,-12,-4,-13,-4,-13,-4,-13,-4,-14,-3,-14,-3,-14,-3,-14,-3,-14,-3]"
2025-08-13 17:35:40.014395,CSI_DATA,363,1a:00:00:00:00:00,-41,11,0,0,0,0,0,0,0,0,0,-96,0,1,0,62152278,0,31,0,128,0,"[0,0,-8,13,-8,12,-8,12,-8,12,-7,12,-7,12,-6,12,-5,12,-5,11,-4,11,-4,11,-3,11,-3,12,-3,12,-3,12,-3,12,-3,13,-3,12,-4,13,-4,12,-4,12,-5,12,-5,11,-6,11,-6,10,-7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,9,-7,9,-8,9,-8,9,-9,9,-10,9,-10,9,-9,8,-10,8,-10,8,-10,8,-10,8,-10,8,-9,8,-10,9,-9,8,-9,9,-9,10,-8,10,-8,11,-8,11,-8,12,-8,12,-7,13,-8,13,-8,13]"
2025-08-13 17:35:40.215510,CSI_DATA,364,1a:00:00:00:00:00,-41,11,0,0,0,0,0,0,0,0,0,-96,0,1,0,62353404,0,31,0,128,0,"[0,0,-2,15,-2,15,-2,14,-2,14,-2,14,-2,13,-1,13,-1,12,0,12,1,12,1,12,2,12,2,11,2,12,2,12,2,12,2,12,2,12,1,13,1,13,0,13,0,12,-1,12,-1,12,-2,11,-3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,11,-2,11,-2,11,-3,12,-3,11,-4,12,-5,12,-5,12,-5,11,-5,11,-5,11,-5,11,-5,11,-4,11,-4,11,-4,11,-4,12,-3,12,-3,13,-3,13,-3,13,-2,14,-2,14,-2,14,-2,15,-2,15]"
2025-08-13 17:35:40.419861,CSI_DATA,365,1a:00:00:00:00:00,-41,11,0,0,0,0,0,0,0,0,0,-96,0,1,0,62554631,0,31,0,128,0,"[0,0,3,14,3,13,3,13,3,13,3,12,3,12,3,11,3,11,4,10,4,10,5,10,5,10,5,10,5,9,6,10,6,9,6,10,6,10,6,11,5,11,5,11,4,11,3,11,2,11,2,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,10,2,11,1,11,1,11,0,11,0,12,0,12,-1,12,-1,11,-1,12,-1,12,-1,11,0,11,0,11,0,11,1,11,1,12,1,12,2,12,2,12,3,12,3,13,3,13,3,14,3,13]"
