timestamp,RTT_raw (nSec),RTT_est,Distance (meters)
2025-08-18 22:49:44.975686,21,21,3.15
2025-08-18 22:49:46.510705,23,23,3.45
2025-08-18 22:49:48.047145,26,26,3.9
2025-08-18 22:49:49.583652,23,23,3.45
2025-08-18 22:49:51.118921,23,23,3.45
2025-08-18 22:49:52.658132,23,23,3.45
2025-08-18 22:49:54.190976,22,22,3.3
2025-08-18 22:49:55.727157,22,22,3.3
2025-08-18 22:49:57.263123,22,22,3.3
2025-08-18 22:49:58.799684,21,21,3.15
2025-08-18 22:50:00.335293,24,24,3.6
2025-08-18 22:50:01.871802,20,20,3.0
2025-08-18 22:50:03.407980,21,21,3.15
2025-08-18 22:50:04.944498,22,22,3.3
2025-08-18 22:50:06.516524,22,22,3.3
2025-08-18 22:50:08.117174,22,22,3.3
2025-08-18 22:50:09.654054,21,21,3.15
2025-08-18 22:50:11.191478,26,26,3.9
2025-08-18 22:50:12.725749,23,23,3.45
2025-08-18 22:50:14.264350,22,22,3.3
2025-08-18 22:50:15.799083,21,21,3.15
2025-08-18 22:50:17.336068,22,22,3.3
2025-08-18 22:50:19.407816,22,22,3.3
2025-08-18 22:50:20.917783,21,21,3.15
2025-08-18 22:50:22.454077,23,23,3.45
2025-08-18 22:50:23.990389,21,21,3.15
2025-08-18 22:50:25.526072,24,24,3.6
2025-08-18 22:50:27.063263,23,23,3.45
2025-08-18 22:50:28.597973,21,21,3.15
2025-08-18 22:50:30.134984,22,22,3.3
2025-08-18 22:50:31.670869,22,22,3.3
2025-08-18 22:50:33.206656,22,22,3.3
2025-08-18 22:50:34.744736,22,22,3.3
2025-08-18 22:50:36.382296,21,21,3.15
2025-08-18 22:50:37.917438,21,21,3.15
2025-08-18 22:50:39.455996,21,21,3.15
2025-08-18 22:50:41.023740,21,21,3.15
2025-08-18 22:50:42.629140,22,22,3.3
2025-08-18 22:50:44.163870,22,22,3.3
2025-08-18 22:50:45.698903,21,21,3.15
2025-08-18 22:50:47.235330,22,22,3.3
2025-08-18 22:50:48.772422,22,22,3.3
2025-08-18 22:50:50.307798,23,23,3.45
2025-08-18 22:50:51.843492,21,21,3.15
2025-08-18 22:50:53.381656,22,22,3.3
2025-08-18 22:50:54.917132,21,21,3.15
2025-08-18 22:50:56.451206,22,22,3.3
2025-08-18 22:50:57.986463,20,20,3.0
2025-08-18 22:50:59.524492,22,22,3.3
2025-08-18 22:51:01.060860,22,22,3.3
2025-08-18 22:51:02.596306,22,22,3.3
2025-08-18 22:51:04.133736,22,22,3.3
2025-08-18 22:51:05.667766,20,20,3.0
2025-08-18 22:51:07.204950,20,20,3.0
2025-08-18 22:51:08.739290,23,23,3.45
2025-08-18 22:51:10.275984,20,20,3.0
2025-08-18 22:51:11.813929,23,23,3.45
2025-08-18 22:51:13.348069,19,19,2.85
2025-08-18 22:51:14.883727,19,19,2.85
2025-08-18 22:51:16.420298,20,20,3.0
2025-08-18 22:51:17.955580,22,22,3.3
2025-08-18 22:51:19.504447,19,19,2.85
2025-08-18 22:51:21.028976,20,20,3.0
2025-08-18 22:51:22.564362,20,20,3.0
2025-08-18 22:51:24.099533,20,20,3.0
2025-08-18 22:51:25.637673,21,21,3.15
2025-08-18 22:51:27.171852,21,21,3.15
2025-08-18 22:51:28.709690,20,20,3.0
