timestamp,RTT_raw (nSec),RTT_est,Distance (meters)
2025-08-18 23:08:39.555712,14,14,2.1
2025-08-18 23:08:41.096733,13,13,1.95
2025-08-18 23:08:42.628388,12,12,1.8
2025-08-18 23:08:44.164545,11,11,1.65
2025-08-18 23:08:45.700598,11,11,1.65
2025-08-18 23:08:47.236414,10,10,1.5
2025-08-18 23:08:48.771512,8,8,1.2
2025-08-18 23:08:50.309079,11,11,1.65
2025-08-18 23:08:51.844094,9,9,1.35
2025-08-18 23:08:53.384835,10,10,1.5
2025-08-18 23:08:54.916811,10,10,1.5
2025-08-18 23:08:56.452862,10,10,1.5
2025-08-18 23:08:57.988169,10,10,1.5
2025-08-18 23:08:59.523796,10,10,1.5
2025-08-18 23:09:01.059932,10,10,1.5
2025-08-18 23:09:02.595215,8,8,1.2
2025-08-18 23:09:04.130991,9,9,1.35
2025-08-18 23:09:05.667631,13,13,1.95
2025-08-18 23:09:07.204904,10,10,1.5
2025-08-18 23:09:08.740659,10,10,1.5
2025-08-18 23:09:10.275916,11,11,1.65
2025-08-18 23:09:11.812689,9,9,1.35
2025-08-18 23:09:13.348664,12,12,1.8
2025-08-18 23:09:14.884737,10,10,1.5
2025-08-18 23:09:16.419869,9,9,1.35
2025-08-18 23:09:17.956341,12,12,1.8
2025-08-18 23:09:19.492435,11,11,1.65
2025-08-18 23:09:21.030731,13,13,1.95
2025-08-18 23:09:22.565190,11,11,1.65
2025-08-18 23:09:24.100937,12,12,1.8
2025-08-18 23:09:25.636525,12,12,1.8
2025-08-18 23:09:27.172672,10,10,1.5
2025-08-18 23:09:28.708350,10,10,1.5
2025-08-18 23:09:30.244552,15,15,2.25
2025-08-18 23:09:31.780587,15,15,2.25
2025-08-18 23:09:33.316880,12,12,1.8
2025-08-18 23:09:34.852103,15,15,2.25
2025-08-18 23:09:36.392131,10,10,1.5
2025-08-18 23:09:37.925148,10,10,1.5
2025-08-18 23:09:39.470884,11,11,1.65
2025-08-18 23:09:41.004313,15,15,2.25
2025-08-18 23:09:42.533204,11,11,1.65
2025-08-18 23:09:44.072127,14,14,2.1
2025-08-18 23:09:45.604659,13,13,1.95
2025-08-18 23:09:47.140881,14,14,2.1
2025-08-18 23:09:48.679039,14,14,2.1
2025-08-18 23:09:50.217030,12,12,1.8
2025-08-18 23:09:51.758891,14,14,2.1
2025-08-18 23:09:53.286110,13,13,1.95
2025-08-18 23:09:54.823923,11,11,1.65
2025-08-18 23:09:56.360937,13,13,1.95
2025-08-18 23:09:57.897933,11,11,1.65
2025-08-18 23:09:59.434090,12,12,1.8
2025-08-18 23:10:00.964867,16,16,2.4
2025-08-18 23:10:02.500662,13,13,1.95
2025-08-18 23:10:04.037722,11,11,1.65
2025-08-18 23:10:05.577265,13,13,1.95
2025-08-18 23:10:07.118230,10,10,1.5
2025-08-18 23:10:08.648331,14,14,2.1
2025-08-18 23:10:10.181425,12,12,1.8
2025-08-18 23:10:11.717895,12,12,1.8
2025-08-18 23:10:13.255436,14,14,2.1
2025-08-18 23:10:14.789695,11,11,1.65
2025-08-18 23:10:16.325981,12,12,1.8
2025-08-18 23:10:17.862904,14,14,2.1
2025-08-18 23:10:19.401716,13,13,1.95
2025-08-18 23:10:20.933624,12,12,1.8
2025-08-18 23:10:22.470634,16,16,2.4
2025-08-18 23:10:24.006429,12,12,1.8
2025-08-18 23:10:25.546766,11,11,1.65
2025-08-18 23:10:27.077608,13,13,1.95
2025-08-18 23:10:28.614652,14,14,2.1
2025-08-18 23:10:30.149978,13,13,1.95
2025-08-18 23:10:31.685044,12,12,1.8
2025-08-18 23:10:33.221052,13,13,1.95
2025-08-18 23:10:34.757181,15,15,2.25
2025-08-18 23:10:36.298308,11,11,1.65
2025-08-18 23:10:37.829821,14,14,2.1
2025-08-18 23:10:39.366095,13,13,1.95
2025-08-18 23:10:40.902336,10,10,1.5
2025-08-18 23:10:42.437897,13,13,1.95
2025-08-18 23:10:43.974243,12,12,1.8
2025-08-18 23:10:45.511857,11,11,1.65
2025-08-18 23:10:47.046477,13,13,1.95
2025-08-18 23:10:48.582615,10,10,1.5
2025-08-18 23:10:50.117742,9,9,1.35
2025-08-18 23:10:51.652919,9,9,1.35
2025-08-18 23:10:53.190848,12,12,1.8
2025-08-18 23:10:54.726338,11,11,1.65
2025-08-18 23:10:56.262055,11,11,1.65
2025-08-18 23:10:57.804122,11,11,1.65
2025-08-18 23:10:59.335481,11,11,1.65
2025-08-18 23:11:00.871868,11,11,1.65
2025-08-18 23:11:02.418109,11,11,1.65
2025-08-18 23:11:03.949154,13,13,1.95
2025-08-18 23:11:05.477962,11,11,1.65
2025-08-18 23:11:07.015312,10,10,1.5
2025-08-18 23:11:08.550046,10,10,1.5
2025-08-18 23:11:10.087792,13,13,1.95
2025-08-18 23:11:11.621693,13,13,1.95
2025-08-18 23:11:13.159046,11,11,1.65
2025-08-18 23:11:14.694042,10,10,1.5
2025-08-18 23:11:16.232149,12,12,1.8
2025-08-18 23:11:17.767031,10,10,1.5
2025-08-18 23:11:19.301780,9,9,1.35
2025-08-18 23:11:20.841571,10,10,1.5
2025-08-18 23:11:22.374624,12,12,1.8
2025-08-18 23:11:23.921506,11,11,1.65
2025-08-18 23:11:25.452797,12,12,1.8
2025-08-18 23:11:26.981939,13,13,1.95
2025-08-18 23:11:28.518207,9,9,1.35
2025-08-18 23:11:30.054285,8,8,1.2
2025-08-18 23:11:31.591799,11,11,1.65
2025-08-18 23:11:33.126613,12,12,1.8
2025-08-18 23:11:34.662843,14,14,2.1
2025-08-18 23:11:36.199471,12,12,1.8
2025-08-18 23:11:37.748186,10,10,1.5
2025-08-18 23:11:39.277238,13,13,1.95
2025-08-18 23:11:40.806459,8,8,1.2
2025-08-18 23:11:42.343114,9,9,1.35
2025-08-18 23:11:43.879586,11,11,1.65
2025-08-18 23:11:45.414256,11,11,1.65
2025-08-18 23:11:46.950665,13,13,1.95
2025-08-18 23:11:48.486574,11,11,1.65
2025-08-18 23:11:50.022806,13,13,1.95
2025-08-18 23:11:51.558961,11,11,1.65
2025-08-18 23:11:53.095161,11,11,1.65
2025-08-18 23:11:54.632613,10,10,1.5
2025-08-18 23:11:56.168797,13,13,1.95
2025-08-18 23:11:57.702860,11,11,1.65
2025-08-18 23:11:59.238919,12,12,1.8
2025-08-18 23:12:00.776120,10,10,1.5
2025-08-18 23:12:02.310905,13,13,1.95
2025-08-18 23:12:03.847637,11,11,1.65
2025-08-18 23:12:05.384517,14,14,2.1
2025-08-18 23:12:06.919014,9,9,1.35
2025-08-18 23:12:08.455916,12,12,1.8
2025-08-18 23:12:09.990952,6,6,0.9
2025-08-18 23:12:11.527651,12,12,1.8
2025-08-18 23:12:13.063172,11,11,1.65
2025-08-18 23:12:14.611728,12,12,1.8
2025-08-18 23:12:16.135832,12,12,1.8
2025-08-18 23:12:17.671908,14,14,2.1
2025-08-18 23:12:19.207086,11,11,1.65
2025-08-18 23:12:20.743296,14,14,2.1
2025-08-18 23:12:22.279283,11,11,1.65
2025-08-18 23:12:23.815659,12,12,1.8
2025-08-18 23:12:25.351013,12,12,1.8
2025-08-18 23:12:26.888179,10,10,1.5
2025-08-18 23:12:28.423255,12,12,1.8
2025-08-18 23:12:29.960139,14,14,2.1
2025-08-18 23:12:32.011263,13,13,1.95
2025-08-18 23:12:33.544369,11,11,1.65
2025-08-18 23:12:35.080768,11,11,1.65
2025-08-18 23:12:36.615751,14,14,2.1
2025-08-18 23:12:38.153345,14,14,2.1
2025-08-18 23:12:39.688930,11,11,1.65
2025-08-18 23:12:41.223498,12,12,1.8
2025-08-18 23:12:42.770981,9,9,1.35
2025-08-18 23:12:44.300142,9,9,1.35
2025-08-18 23:12:45.831954,9,9,1.35
2025-08-18 23:12:47.367173,9,9,1.35
2025-08-18 23:12:48.905003,10,10,1.5
2025-08-18 23:12:50.440773,9,9,1.35
2025-08-18 23:12:51.976972,8,8,1.2
2025-08-18 23:12:53.513333,9,9,1.35
2025-08-18 23:12:55.066258,7,7,1.05
2025-08-18 23:12:56.584355,9,9,1.35
2025-08-18 23:12:58.120869,10,10,1.5
2025-08-18 23:12:59.657004,11,11,1.65
2025-08-18 23:13:01.191800,8,8,1.2
2025-08-18 23:13:02.728871,11,11,1.65
2025-08-18 23:13:04.265752,11,11,1.65
2025-08-18 23:13:05.800318,7,7,1.05
2025-08-18 23:13:07.341968,9,9,1.35
2025-08-18 23:13:08.879894,10,10,1.5
2025-08-18 23:13:10.413831,10,10,1.5
2025-08-18 23:13:11.946659,11,11,1.65
2025-08-18 23:13:13.480942,9,9,1.35
2025-08-18 23:13:15.016700,10,10,1.5
2025-08-18 23:13:16.553090,9,9,1.35
2025-08-18 23:13:18.093232,9,9,1.35
2025-08-18 23:13:19.629243,10,10,1.5
2025-08-18 23:13:21.160970,13,13,1.95
2025-08-18 23:13:22.698068,9,9,1.35
2025-08-18 23:13:24.232853,10,10,1.5
2025-08-18 23:13:25.768935,8,8,1.2
2025-08-18 23:13:27.304847,5,5,0.75
2025-08-18 23:13:28.839318,5,5,0.75
2025-08-18 23:13:30.377591,7,7,1.05
2025-08-18 23:13:31.912884,5,5,0.75
2025-08-18 23:13:33.449040,7,7,1.05
2025-08-18 23:13:34.984708,10,10,1.5
2025-08-18 23:13:36.523061,12,12,1.8
2025-08-18 23:13:38.057235,13,13,1.95
2025-08-18 23:13:39.595206,10,10,1.5
2025-08-18 23:13:41.128098,10,10,1.5
2025-08-18 23:13:42.664420,9,9,1.35
2025-08-18 23:13:44.201365,11,11,1.65
2025-08-18 23:13:45.737961,10,10,1.5
2025-08-18 23:13:47.273865,11,11,1.65
2025-08-18 23:13:48.809640,8,8,1.2
2025-08-18 23:13:50.346400,12,12,1.8
2025-08-18 23:13:51.880939,10,10,1.5
2025-08-18 23:13:53.417631,11,11,1.65
2025-08-18 23:13:54.953615,10,10,1.5
2025-08-18 23:13:56.491636,10,10,1.5
2025-08-18 23:13:58.026455,12,12,1.8
2025-08-18 23:13:59.561336,12,12,1.8
2025-08-18 23:14:01.097987,8,8,1.2
2025-08-18 23:14:02.632161,6,6,0.9
2025-08-18 23:14:04.172157,10,10,1.5
2025-08-18 23:14:05.706107,12,12,1.8
2025-08-18 23:14:07.240928,14,14,2.1
