timestamp,RTT_raw (nSec),RTT_est,Distance (meters)
2025-08-18 21:00:08.359143,40,40,6.0
2025-08-18 21:00:09.906554,44,44,6.6
2025-08-18 21:00:11.432157,45,45,6.75
2025-08-18 21:00:12.973627,46,46,6.9
2025-08-18 21:00:14.504198,48,48,7.2
2025-08-18 21:00:16.043651,44,44,6.6
2025-08-18 21:00:17.577393,43,43,6.45
2025-08-18 21:00:19.119972,47,47,7.05
2025-08-18 21:00:20.648991,45,45,6.75
2025-08-18 21:00:22.187226,44,44,6.6
2025-08-18 21:00:23.720099,44,44,6.6
2025-08-18 21:00:25.256132,43,43,6.45
2025-08-18 21:00:26.795484,44,44,6.6
2025-08-18 21:00:28.329089,44,44,6.6
2025-08-18 21:00:29.878268,44,44,6.6
2025-08-18 21:00:31.400722,46,46,6.9
2025-08-18 21:00:32.939061,44,44,6.6
2025-08-18 21:00:34.473005,47,47,7.05
2025-08-18 21:00:36.008257,45,45,6.75
2025-08-18 21:00:37.546830,44,44,6.6
2025-08-18 21:00:39.080069,43,43,6.45
2025-08-18 21:00:40.621662,44,44,6.6
2025-08-18 21:00:42.154526,46,46,6.9
2025-08-18 21:00:43.688183,46,46,6.9
2025-08-18 21:00:45.229194,45,45,6.75
2025-08-18 21:00:46.764139,45,45,6.75
2025-08-18 21:00:48.301520,47,47,7.05
2025-08-18 21:00:49.836167,44,44,6.6
2025-08-18 21:00:51.382523,45,45,6.75
2025-08-18 21:00:52.905074,44,44,6.6
2025-08-18 21:00:54.445347,44,44,6.6
2025-08-18 21:00:55.981128,42,42,6.3
2025-08-18 21:00:57.517405,45,45,6.75
2025-08-18 21:00:59.058896,46,46,6.9
2025-08-18 21:01:00.586818,45,45,6.75
2025-08-18 21:01:02.120903,43,43,6.45
2025-08-18 21:01:03.663888,44,44,6.6
2025-08-18 21:01:05.192520,44,44,6.6
2025-08-18 21:01:06.729875,42,42,6.3
2025-08-18 21:01:08.266051,44,44,6.6
2025-08-18 21:01:09.804830,43,43,6.45
2025-08-18 21:01:11.337949,44,44,6.6
2025-08-18 21:01:12.879885,43,43,6.45
2025-08-18 21:01:14.410469,42,42,6.3
2025-08-18 21:01:15.945272,43,43,6.45
2025-08-18 21:01:17.484899,42,42,6.3
2025-08-18 21:01:19.035793,42,42,6.3
2025-08-18 21:01:20.552714,42,42,6.3
2025-08-18 21:01:22.093309,43,43,6.45
2025-08-18 21:01:23.625111,43,43,6.45
2025-08-18 21:01:25.166562,41,41,6.15
2025-08-18 21:01:26.700736,42,42,6.3
2025-08-18 21:01:28.236361,41,41,6.15
2025-08-18 21:01:29.773168,43,43,6.45
2025-08-18 21:01:31.305360,41,41,6.15
2025-08-18 21:01:32.841311,43,43,6.45
2025-08-18 21:01:34.377289,40,40,6.0
2025-08-18 21:01:35.913864,43,43,6.45
2025-08-18 21:01:37.449490,41,41,6.15
2025-08-18 21:01:38.993639,42,42,6.3
