timestamp,RTT_raw (nSec),RTT_est,Distance (meters)
2025-08-18 22:55:41.796819,20,20,3.0
2025-08-18 22:55:43.333723,21,21,3.15
2025-08-18 22:55:44.868970,20,20,3.0
2025-08-18 22:55:46.405372,18,18,2.7
2025-08-18 22:55:47.941904,19,19,2.85
2025-08-18 22:55:49.477279,20,20,3.0
2025-08-18 22:55:51.014143,19,19,2.85
2025-08-18 22:55:52.550836,20,20,3.0
2025-08-18 22:55:54.085999,22,22,3.3
2025-08-18 22:55:55.621801,21,21,3.15
2025-08-18 22:55:57.157643,18,18,2.7
2025-08-18 22:55:58.693753,18,18,2.7
2025-08-18 22:56:00.230276,18,18,2.7
2025-08-18 22:56:01.765031,17,17,2.55
2025-08-18 22:56:03.301676,18,18,2.7
2025-08-18 22:56:04.838222,18,18,2.7
2025-08-18 22:56:06.374788,19,19,2.85
2025-08-18 22:56:07.910530,19,19,2.85
2025-08-18 22:56:09.448508,19,19,2.85
2025-08-18 22:56:10.981972,18,18,2.7
2025-08-18 22:56:12.518487,19,19,2.85
2025-08-18 22:56:14.053457,18,18,2.7
2025-08-18 22:56:15.590175,20,20,3.0
2025-08-18 22:56:17.126219,22,22,3.3
2025-08-18 22:56:18.662493,19,19,2.85
2025-08-18 22:56:20.197772,19,19,2.85
2025-08-18 22:56:21.733532,20,20,3.0
2025-08-18 22:56:23.269686,20,20,3.0
2025-08-18 22:56:24.805877,21,21,3.15
2025-08-18 22:56:26.341788,22,22,3.3
2025-08-18 22:56:28.390468,19,19,2.85
2025-08-18 22:56:29.925472,20,20,3.0
2025-08-18 22:56:31.464003,19,19,2.85
2025-08-18 22:56:33.000247,19,19,2.85
2025-08-18 22:56:34.533363,20,20,3.0
2025-08-18 22:56:36.070515,20,20,3.0
2025-08-18 22:56:37.610382,22,22,3.3
2025-08-18 22:56:39.144902,19,19,2.85
2025-08-18 22:56:40.678601,22,22,3.3
2025-08-18 22:56:42.213734,18,18,2.7
2025-08-18 22:56:43.751761,18,18,2.7
2025-08-18 22:56:45.286394,20,20,3.0
2025-08-18 22:56:46.822343,18,18,2.7
2025-08-18 22:56:48.358632,18,18,2.7
2025-08-18 22:56:49.894915,20,20,3.0
2025-08-18 22:56:51.430625,19,19,2.85
2025-08-18 22:56:52.967873,19,19,2.85
2025-08-18 22:56:54.503937,19,19,2.85
2025-08-18 22:56:56.039102,20,20,3.0
2025-08-18 22:56:58.086431,18,18,2.7
2025-08-18 22:56:59.621912,18,18,2.7
2025-08-18 22:57:01.159085,19,19,2.85
2025-08-18 22:57:02.695194,18,18,2.7
2025-08-18 22:57:04.230789,20,20,3.0
2025-08-18 22:57:05.772052,18,18,2.7
2025-08-18 22:57:07.306221,21,21,3.15
2025-08-18 22:57:08.838580,21,21,3.15
2025-08-18 22:57:10.375327,20,20,3.0
2025-08-18 22:57:11.929216,21,21,3.15
2025-08-18 22:57:13.446530,19,19,2.85
2025-08-18 22:57:14.983038,20,20,3.0
2025-08-18 22:57:16.518931,19,19,2.85
2025-08-18 22:57:18.054388,19,19,2.85
2025-08-18 22:57:19.596691,19,19,2.85
2025-08-18 22:57:21.127146,20,20,3.0
2025-08-18 22:57:22.668128,19,19,2.85
2025-08-18 22:57:24.201535,19,19,2.85
2025-08-18 22:57:25.735618,19,19,2.85
2025-08-18 22:57:27.270989,19,19,2.85
2025-08-18 22:57:28.807680,20,20,3.0
2025-08-18 22:57:30.342902,17,17,2.55
2025-08-18 22:57:31.880478,18,18,2.7
2025-08-18 22:57:33.417680,18,18,2.7
2025-08-18 22:57:34.951064,21,21,3.15
2025-08-18 22:57:36.487738,19,19,2.85
2025-08-18 22:57:38.023796,20,20,3.0
2025-08-18 22:57:39.558768,19,19,2.85
2025-08-18 22:57:41.097349,20,20,3.0
2025-08-18 22:57:42.633432,19,19,2.85
2025-08-18 22:57:44.170548,19,19,2.85
2025-08-18 22:57:45.703845,19,19,2.85
2025-08-18 22:57:47.238954,19,19,2.85
2025-08-18 22:57:49.787537,18,18,2.7
2025-08-18 22:57:51.327291,16,16,2.4
2025-08-18 22:57:52.859703,17,17,2.55
2025-08-18 22:57:54.399485,17,17,2.55
2025-08-18 22:57:55.932274,17,17,2.55
2025-08-18 22:57:57.472508,18,18,2.7
2025-08-18 22:57:59.004998,16,16,2.4
2025-08-18 22:58:00.540401,17,17,2.55
2025-08-18 22:58:02.075363,15,15,2.25
2025-08-18 22:58:03.613204,16,16,2.4
2025-08-18 22:58:05.147845,16,16,2.4
2025-08-18 22:58:06.684653,16,16,2.4
2025-08-18 22:58:08.221133,17,17,2.55
2025-08-18 22:58:09.756125,17,17,2.55
2025-08-18 22:58:11.291919,16,16,2.4
2025-08-18 22:58:12.829026,18,18,2.7
2025-08-18 22:58:14.366966,16,16,2.4
2025-08-18 22:58:15.899633,16,16,2.4
2025-08-18 22:58:17.435808,17,17,2.55
2025-08-18 22:58:18.972588,19,19,2.85
2025-08-18 22:58:20.516777,16,16,2.4
2025-08-18 22:58:22.043992,18,18,2.7
2025-08-18 22:58:23.579197,18,18,2.7
2025-08-18 22:58:25.116428,16,16,2.4
2025-08-18 22:58:26.651855,18,18,2.7
2025-08-18 22:58:28.193366,16,16,2.4
2025-08-18 22:58:29.725877,17,17,2.55
2025-08-18 22:58:31.260354,16,16,2.4
2025-08-18 22:58:32.798642,16,16,2.4
2025-08-18 22:58:34.332539,17,17,2.55
2025-08-18 22:58:35.872417,18,18,2.7
2025-08-18 22:58:37.407088,19,19,2.85
2025-08-18 22:58:38.941623,17,17,2.55
2025-08-18 22:58:40.476835,18,18,2.7
2025-08-18 22:58:42.012041,17,17,2.55
2025-08-18 22:58:43.549134,17,17,2.55
2025-08-18 22:58:45.090451,16,16,2.4
2025-08-18 22:58:46.621469,17,17,2.55
2025-08-18 22:58:48.158088,17,17,2.55
2025-08-18 22:58:49.693075,19,19,2.85
2025-08-18 22:58:51.228650,20,20,3.0
2025-08-18 22:58:52.764736,20,20,3.0
2025-08-18 22:58:54.300439,18,18,2.7
2025-08-18 22:58:55.839047,17,17,2.55
2025-08-18 22:58:57.376134,17,17,2.55
2025-08-18 22:58:58.910451,18,18,2.7
2025-08-18 22:59:00.445575,18,18,2.7
2025-08-18 22:59:01.980268,18,18,2.7
2025-08-18 22:59:03.519740,18,18,2.7
2025-08-18 22:59:05.052864,18,18,2.7
2025-08-18 22:59:06.588969,17,17,2.55
2025-08-18 22:59:08.125483,16,16,2.4
2025-08-18 22:59:09.662660,18,18,2.7
2025-08-18 22:59:11.197829,17,17,2.55
2025-08-18 22:59:12.732697,18,18,2.7
2025-08-18 22:59:14.270663,18,18,2.7
2025-08-18 22:59:15.804327,19,19,2.85
2025-08-18 22:59:17.342630,17,17,2.55
2025-08-18 22:59:18.877361,17,17,2.55
2025-08-18 22:59:20.414923,17,17,2.55
2025-08-18 22:59:21.950044,19,19,2.85
2025-08-18 22:59:23.484264,17,17,2.55
2025-08-18 22:59:25.020490,19,19,2.85
2025-08-18 22:59:26.557635,18,18,2.7
2025-08-18 22:59:28.100836,18,18,2.7
2025-08-18 22:59:29.633179,18,18,2.7
2025-08-18 22:59:31.164186,18,18,2.7
2025-08-18 22:59:32.701756,18,18,2.7
2025-08-18 22:59:34.238016,18,18,2.7
2025-08-18 22:59:35.773511,20,20,3.0
2025-08-18 22:59:37.310312,17,17,2.55
2025-08-18 22:59:38.845302,17,17,2.55
2025-08-18 22:59:40.381083,19,19,2.85
2025-08-18 22:59:41.921488,16,16,2.4
2025-08-18 22:59:43.453236,16,16,2.4
2025-08-18 22:59:44.990382,16,16,2.4
2025-08-18 22:59:46.527363,16,16,2.4
2025-08-18 22:59:48.063735,16,16,2.4
2025-08-18 22:59:49.597619,19,19,2.85
2025-08-18 22:59:51.132676,17,17,2.55
2025-08-18 22:59:52.671749,16,16,2.4
2025-08-18 22:59:54.207364,18,18,2.7
2025-08-18 22:59:55.742570,16,16,2.4
2025-08-18 22:59:57.277512,18,18,2.7
2025-08-18 22:59:58.816427,18,18,2.7
2025-08-18 23:00:00.349067,16,16,2.4
