timestamp,RTT_raw (nSec),RTT_est,Distance (meters)
2025-08-18 22:18:07.138168,25,25,3.75
2025-08-18 22:18:08.674962,24,24,3.6
2025-08-18 22:18:10.209902,24,24,3.6
2025-08-18 22:18:11.747228,25,25,3.75
2025-08-18 22:18:13.282221,25,25,3.75
2025-08-18 22:18:14.818208,24,24,3.6
2025-08-18 22:18:16.356421,25,25,3.75
2025-08-18 22:18:17.890823,24,24,3.6
2025-08-18 22:18:19.426849,23,23,3.45
2025-08-18 22:18:20.963367,25,25,3.75
2025-08-18 22:18:22.499152,24,24,3.6
2025-08-18 22:18:24.034822,23,23,3.45
2025-08-18 22:18:25.570763,23,23,3.45
2025-08-18 22:18:27.125174,24,24,3.6
2025-08-18 22:18:28.643748,22,22,3.3
2025-08-18 22:18:30.178569,23,23,3.45
2025-08-18 22:18:31.714672,22,22,3.3
2025-08-18 22:18:33.250125,25,25,3.75
2025-08-18 22:18:34.788655,24,24,3.6
2025-08-18 22:18:36.324236,24,24,3.6
2025-08-18 22:18:37.860168,25,25,3.75
2025-08-18 22:18:39.395315,26,26,3.9
2025-08-18 22:18:40.931705,24,24,3.6
2025-08-18 22:18:42.467786,24,24,3.6
2025-08-18 22:18:44.003497,24,24,3.6
2025-08-18 22:18:45.539836,24,24,3.6
2025-08-18 22:18:47.075396,24,24,3.6
2025-08-18 22:18:48.611151,23,23,3.45
2025-08-18 22:18:50.147127,24,24,3.6
2025-08-18 22:18:51.683601,22,22,3.3
2025-08-18 22:18:53.230804,24,24,3.6
2025-08-18 22:18:54.755093,23,23,3.45
2025-08-18 22:18:56.291442,24,24,3.6
2025-08-18 22:18:57.827179,24,24,3.6
2025-08-18 22:18:59.364734,23,23,3.45
2025-08-18 22:19:00.899429,25,25,3.75
2025-08-18 22:19:02.435212,25,25,3.75
2025-08-18 22:19:03.972080,23,23,3.45
2025-08-18 22:19:05.509344,24,24,3.6
2025-08-18 22:19:07.043863,22,22,3.3
2025-08-18 22:19:08.579619,23,23,3.45
2025-08-18 22:19:10.115209,23,23,3.45
2025-08-18 22:19:11.651660,25,25,3.75
2025-08-18 22:19:13.187431,23,23,3.45
2025-08-18 22:19:14.723606,22,22,3.3
2025-08-18 22:19:16.260081,24,24,3.6
2025-08-18 22:19:17.796690,23,23,3.45
2025-08-18 22:19:19.333455,22,22,3.3
2025-08-18 22:19:20.868260,22,22,3.3
2025-08-18 22:19:22.404092,23,23,3.45
2025-08-18 22:19:23.939882,21,21,3.15
2025-08-18 22:19:25.476373,22,22,3.3
2025-08-18 22:19:27.012146,23,23,3.45
2025-08-18 22:19:28.547951,22,22,3.3
2025-08-18 22:19:30.084325,22,22,3.3
2025-08-18 22:19:31.655445,23,23,3.45
2025-08-18 22:19:33.258979,21,21,3.15
2025-08-18 22:19:34.795648,21,21,3.15
2025-08-18 22:19:36.330479,23,23,3.45
2025-08-18 22:19:37.866502,21,21,3.15
2025-08-18 22:19:39.402245,23,23,3.45
2025-08-18 22:19:40.938911,23,23,3.45
2025-08-18 22:19:42.474286,23,23,3.45
2025-08-18 22:19:44.010244,20,20,3.0
2025-08-18 22:19:45.546737,24,24,3.6
2025-08-18 22:19:47.083171,21,21,3.15
2025-08-18 22:19:48.618532,23,23,3.45
2025-08-18 22:19:50.154270,22,22,3.3
2025-08-18 22:19:51.690945,22,22,3.3
2025-08-18 22:19:53.227339,24,24,3.6
2025-08-18 22:19:54.763239,21,21,3.15
2025-08-18 22:19:56.299513,23,23,3.45
2025-08-18 22:19:57.835778,21,21,3.15
2025-08-18 22:19:59.371052,21,21,3.15
2025-08-18 22:20:00.908042,24,24,3.6
2025-08-18 22:20:02.442966,23,23,3.45
2025-08-18 22:20:03.978813,21,21,3.15
2025-08-18 22:20:05.515368,24,24,3.6
2025-08-18 22:20:07.050628,22,22,3.3
2025-08-18 22:20:08.587716,22,22,3.3
2025-08-18 22:20:10.122725,24,24,3.6
2025-08-18 22:20:11.659022,22,22,3.3
2025-08-18 22:20:13.195456,21,21,3.15
2025-08-18 22:20:14.731879,24,24,3.6
2025-08-18 22:20:16.267330,24,24,3.6
2025-08-18 22:20:17.803981,21,21,3.15
2025-08-18 22:20:19.339131,22,22,3.3
2025-08-18 22:20:20.875640,22,22,3.3
2025-08-18 22:20:22.410593,21,21,3.15
2025-08-18 22:20:23.947076,21,21,3.15
2025-08-18 22:20:25.483297,23,23,3.45
2025-08-18 22:20:27.020482,21,21,3.15
2025-08-18 22:20:28.555506,24,24,3.6
2025-08-18 22:20:30.092355,20,20,3.0
2025-08-18 22:20:31.627461,22,22,3.3
2025-08-18 22:20:33.163167,22,22,3.3
2025-08-18 22:20:34.699357,23,23,3.45
2025-08-18 22:20:36.235666,20,20,3.0
2025-08-18 22:20:37.773634,24,24,3.6
2025-08-18 22:20:39.307956,21,21,3.15
2025-08-18 22:20:40.843138,23,23,3.45
2025-08-18 22:20:42.379770,22,22,3.3
2025-08-18 22:20:43.914952,22,22,3.3
2025-08-18 22:20:45.451635,22,22,3.3
2025-08-18 22:20:46.987737,23,23,3.45
2025-08-18 22:20:48.524454,24,24,3.6
2025-08-18 22:20:50.060384,23,23,3.45
2025-08-18 22:20:51.595396,21,21,3.15
2025-08-18 22:20:53.131426,23,23,3.45
2025-08-18 22:20:54.668388,23,23,3.45
2025-08-18 22:20:56.203494,22,22,3.3
2025-08-18 22:20:57.740674,22,22,3.3
2025-08-18 22:20:59.276317,23,23,3.45
2025-08-18 22:21:00.812365,21,21,3.15
2025-08-18 22:21:02.347644,22,22,3.3
2025-08-18 22:21:03.884754,23,23,3.45
2025-08-18 22:21:05.420218,23,23,3.45
2025-08-18 22:21:06.956158,22,22,3.3
2025-08-18 22:21:08.491602,23,23,3.45
2025-08-18 22:21:10.027099,23,23,3.45
2025-08-18 22:21:11.563244,23,23,3.45
2025-08-18 22:21:13.099985,24,24,3.6
2025-08-18 22:21:14.635934,21,21,3.15
2025-08-18 22:21:16.172823,21,21,3.15
2025-08-18 22:21:17.708553,23,23,3.45
2025-08-18 22:21:19.757410,21,21,3.15
2025-08-18 22:21:21.292192,22,22,3.3
2025-08-18 22:21:22.827872,22,22,3.3
2025-08-18 22:21:24.876400,22,22,3.3
2025-08-18 22:21:26.412356,25,25,3.75
2025-08-18 22:21:27.951480,23,23,3.45
2025-08-18 22:21:29.484310,22,22,3.3
