dist_est_m,rssi_mean_dbm,rssi_min_dbm,rtt_min,rtt_k2,rtt_median,rtt_p10,rtt_p25,rtt_p75,rtt_iqr,rtt_mad,rtt_mean_trim,rtt_std,rtt_valid_ratio,csi_data_json
1.8,-43.4,-45.0,9375.0,9375.0,9376.0,9375.0,9375.5,10938.0,1562.5,1.0,10026.583333333334,6964.4259860777875,1.0,"[0, 0, -15, 2, -15, 2, -15, 2, -14, 2, -14, 2, -14, 2, -13, 2, -13, 3, -12, 3, -12, 4, -11, 4, -11, 5, -11, 5, -11, 5, -11, 5, -11, 5, -12, 5, -11, 5, -12, 5, -12, 4, -12, 4, -12, 3, -12, 3, -11, 3, -11, 2, -11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, 3, -12, 3, -12, 2, -13, 1, -13, 1, -14, 1, -14, -1, -14, -1, -14, -2, -14, -2, -14, -1, -14, -1, -14, -1, -14, -1, -14, -1, -14, -1, -14, -1, -14, 0, -14, 0, -14, 0, -14, 1, -15, 1, -15, 2, -15, 2, -15, 2, -15, 2]"
1.5,-42.86666666666667,-45.0,9375.0,9375.0,9376.0,9375.0,9375.5,10938.0,1562.5,1.0,9896.416666666666,3065.2680506314973,1.0,"[0, 0, 15, -3, 14, -3, 14, -3, 14, -3, 13, -3, 13, -4, 12, -4, 12, -4, 11, -4, 11, -5, 11, -5, 11, -6, 11, -6, 10, -6, 11, -6, 10, -7, 11, -6, 11, -6, 11, -6, 11, -5, 11, -5, 11, -4, 11, -4, 11, -3, 10, -3, 10, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, -5, 11, -4, 11, -4, 12, -3, 12, -3, 13, -2, 13, -2, 13, -1, 13, -1, 14, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13, -1, 13, -1, 13, -2, 13, -2, 14, -2, 13, -3, 14, -3, 14, -3, 15, -3, 15, -3, 15, -3]"
1.5,-42.333333333333336,-45.0,9375.0,9375.0,9376.0,9375.0,9375.0,10938.0,1563.0,1.0,9766.083333333334,3464.2529892219673,1.0,"[0, 0, -15, -4, -15, -4, -15, -4, -14, -4, -14, -3, -14, -3, -14, -2, -13, -2, -13, -1, -13, -1, -13, -1, -13, 0, -13, 0, -13, 1, -13, 1, -13, 1, -13, 1, -13, 1, -13, 0, -13, 0, -13, -1, -12, -1, -12, -1, -12, -2, -11, -2, -11, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -1, -12, -2, -12, -3, -12, -3, -13, -4, -13, -5, -13, -6, -13, -6, -13, -6, -12, -7, -12, -7, -12, -7, -12, -7, -12, -7, -12, -6, -12, -6, -12, -6, -13, -5, -13, -5, -14, -4, -14, -4, -14, -4, -15, -4, -15, -4, -15, -4, -15, -4]"
1.65,-45.0,-45.0,7813.0,7813.0,9376.0,8437.800000000001,9375.0,9376.0,1.0,1.0,9375.583333333334,4616.412466647908,1.0,"[0, 0, 1, -16, 1, -15, 1, -16, 1, -15, 1, -15, 0, -14, 0, -14, -1, -13, -1, -13, -2, -13, -2, -13, -3, -13, -3, -13, -3, -13, -3, -13, -3, -13, -3, -13, -3, -13, -3, -13, -2, -13, -2, -13, -1, -13, -1, -12, 0, -12, 0, -12, 1, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -12, -1, -13, 0, -13, 1, -13, 1, -13, 2, -14, 3, -14, 3, -14, 4, -14, 4, -14, 4, -14, 4, -13, 4, -13, 4, -13, 4, -13, 3, -13, 3, -14, 2, -13, 2, -14, 2, -14, 2, -15, 2, -15, 1, -15, 1, -15, 1, -16, 1, -16]"
1.5,-43.4,-45.0,9375.0,9375.0,9376.0,9375.0,9375.0,10938.0,1563.0,1.0,9896.333333333334,765.4928579389592,1.0,"[0, 0, 8, 12, 8, 12, 8, 12, 8, 11, 8, 11, 8, 10, 8, 10, 8, 9, 8, 9, 8, 8, 9, 8, 9, 7, 9, 7, 9, 7, 10, 7, 10, 7, 10, 7, 10, 7, 10, 8, 9, 8, 9, 8, 8, 8, 8, 8, 7, 8, 6, 8, 6, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 7, 8, 7, 9, 7, 10, 7, 10, 6, 11, 6, 12, 5, 12, 5, 12, 4, 12, 4, 13, 4, 13, 4, 12, 4, 12, 5, 12, 5, 12, 5, 12, 6, 11, 6, 12, 7, 12, 7, 12, 8, 12, 8, 12, 8, 12, 8, 12, 9, 12]"
1.5,-44.46666666666667,-45.0,9375.0,9375.0,9376.0,9375.0,9375.0,10938.0,1563.0,1.0,9896.25,3445.4247240200866,1.0,"[0, 0, 9, 12, 9, 11, 8, 11, 9, 11, 9, 10, 9, 9, 9, 9, 9, 8, 9, 8, 9, 8, 9, 7, 9, 7, 9, 6, 10, 6, 10, 6, 10, 6, 10, 6, 10, 7, 10, 7, 9, 7, 9, 7, 9, 7, 8, 8, 7, 8, 7, 8, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 8, 7, 8, 8, 7, 9, 7, 10, 7, 10, 7, 11, 6, 11, 6, 12, 5, 12, 5, 12, 5, 12, 5, 12, 5, 11, 6, 11, 6, 11, 6, 11, 7, 11, 7, 11, 8, 11, 8, 11, 9, 11, 9, 11, 9, 11, 9, 11, 9, 11]"
1.65,-40.733333333333334,-45.0,9375.0,9375.0,10938.0,9375.0,9376.0,10938.0,1562.0,1562.0,10156.833333333334,4069.1531174598645,1.0,"[0, 0, -9, 12, -9, 12, -9, 12, -8, 12, -8, 11, -7, 11, -7, 11, -6, 11, -6, 11, -5, 11, -5, 11, -5, 11, -4, 11, -4, 11, -3, 12, -3, 12, -4, 12, -4, 12, -4, 12, -5, 11, -5, 11, -5, 11, -6, 10, -6, 10, -6, 9, -7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 10, -6, 10, -6, 10, -7, 10, -8, 10, -8, 10, -9, 10, -10, 10, -10, 9, -11, 9, -11, 9, -11, 8, -11, 8, -10, 8, -10, 9, -10, 9, -9, 9, -9, 10, -9, 10, -9, 11, -9, 11, -9, 11, -9, 12, -9, 12, -9, 12, -9, 12]"
1.35,-41.266666666666666,-45.0,7813.0,7813.0,9375.0,7813.0,8594.0,9375.5,781.5,1.0,8984.666666666666,3310.6153144090904,1.0,"[0, 0, 9, -13, 8, -13, 8, -12, 8, -12, 8, -12, 7, -12, 7, -12, 6, -12, 5, -12, 5, -12, 4, -12, 4, -12, 4, -12, 4, -12, 3, -12, 3, -12, 4, -12, 4, -12, 4, -12, 4, -12, 5, -12, 5, -11, 5, -11, 6, -10, 6, -10, 6, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, -10, 5, -10, 6, -10, 7, -10, 7, -11, 8, -10, 9, -10, 9, -10, 10, -10, 10, -9, 10, -9, 10, -9, 10, -9, 10, -9, 9, -9, 9, -9, 9, -10, 9, -10, 9, -11, 8, -11, 8, -11, 8, -12, 8, -12, 8, -12, 9, -13, 9, -13]"
1.65,-39.13333333333333,-45.0,9375.0,9375.0,9376.0,9375.0,9375.5,10938.0,1562.5,1.0,10547.5,4727.7990152806715,1.0,"[0, 0, 1, -15, 1, -15, 1, -15, 1, -15, 1, -15, 1, -14, 0, -14, 0, -13, -1, -13, -2, -13, -2, -13, -2, -12, -3, -12, -3, -13, -3, -13, -3, -13, -3, -13, -3, -13, -3, -13, -2, -13, -2, -13, -1, -13, -1, -12, 0, -12, 0, -12, 1, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -11, 0, -12, 0, -12, 1, -13, 1, -13, 2, -13, 3, -13, 3, -13, 4, -13, 4, -13, 4, -13, 4, -13, 4, -13, 4, -13, 4, -13, 3, -13, 3, -13, 3, -13, 2, -14, 2, -14, 2, -14, 2, -15, 1, -15, 1, -15, 1, -15, 1, -16]"
1.65,-39.13333333333333,-45.0,7813.0,7813.0,9376.0,8437.800000000001,9375.0,10157.0,782.0,1.0,10417.166666666666,5098.767572223268,1.0,"[0, 0, 15, 3, 14, 2, 14, 2, 13, 2, 14, 2, 13, 2, 13, 1, 12, 1, 12, 0, 12, 0, 12, -1, 12, -1, 12, -2, 12, -2, 12, -2, 12, -2, 12, -2, 13, -2, 12, -1, 12, -1, 12, -1, 12, 0, 11, 0, 11, 0, 11, 1, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, -1, 11, 0, 11, 1, 12, 2, 12, 2, 13, 3, 12, 4, 12, 5, 12, 5, 11, 5, 12, 5, 12, 5, 12, 5, 12, 5, 12, 5, 12, 4, 12, 4, 12, 4, 13, 4, 13, 3, 13, 3, 14, 3, 13, 3, 15, 2, 14, 2, 15, 3]"
1.5,-37.53333333333333,-45.0,7813.0,9375.0,9376.0,9375.0,9375.0,10157.0,782.0,1.0,9635.833333333334,3538.623225053621,1.0,"[0, 0, 13, -8, 12, -8, 12, -8, 12, -8, 11, -8, 11, -8, 10, -8, 10, -8, 9, -8, 9, -9, 8, -9, 8, -9, 8, -10, 8, -10, 7, -10, 8, -10, 8, -10, 8, -10, 8, -10, 8, -9, 8, -9, 9, -9, 8, -8, 9, -8, 9, -7, 9, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, -7, 9, -7, 9, -7, 10, -7, 10, -6, 11, -6, 12, -5, 12, -5, 12, -5, 12, -4, 12, -4, 12, -4, 12, -4, 12, -4, 12, -5, 11, -5, 12, -5, 11, -6, 12, -6, 12, -7, 12, -7, 12, -7, 12, -8, 12, -8, 13, -8, 13, -8]"
1.5,-37.53333333333333,-45.0,7813.0,7813.0,9376.0,8437.800000000001,9375.0,9376.0,1.0,1.0,9375.666666666666,2845.0700799804563,1.0,"[0, 0, 15, -3, 14, -3, 14, -3, 13, -3, 14, -3, 13, -3, 13, -3, 12, -4, 11, -4, 11, -5, 11, -6, 11, -6, 10, -6, 11, -7, 10, -6, 11, -7, 10, -7, 11, -6, 11, -6, 11, -5, 11, -5, 11, -4, 10, -4, 11, -4, 10, -3, 10, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, -5, 11, -4, 11, -3, 12, -3, 12, -3, 13, -2, 13, 0, 13, 0, 13, 1, 12, 1, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 12, -1, 13, -1, 12, -1, 14, -1, 14, -2, 13, -2, 14, -2, 13, -2, 15, -4, 14, -4, 15, -3]"
1.65,-39.666666666666664,-45.0,7813.0,9375.0,9376.0,9375.0,9375.0,10938.0,1563.0,1.0,9766.0,4239.16758914871,1.0,"[0, 0, 15, -2, 15, -3, 14, -3, 14, -3, 14, -3, 13, -3, 13, -4, 12, -4, 11, -4, 11, -5, 11, -5, 11, -6, 11, -6, 11, -6, 11, -6, 11, -7, 11, -6, 11, -6, 11, -6, 11, -6, 11, -5, 11, -5, 11, -4, 11, -4, 10, -3, 10, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, -4, 11, -4, 11, -3, 12, -2, 12, -2, 13, -1, 13, -1, 13, 0, 13, 0, 13, 1, 13, 1, 13, 1, 13, 1, 13, 1, 13, 0, 12, 0, 13, 0, 13, -1, 13, -1, 13, -2, 14, -2, 14, -3, 14, -3, 15, -3, 15, -3, 15, -3]"
1.65,-41.266666666666666,-45.0,7813.0,9375.0,9376.0,9375.0,9375.0,9376.0,1.0,1.0,10417.166666666666,5284.712642666161,1.0,"[0, 0, -9, 12, -8, 12, -8, 12, -8, 12, -8, 12, -8, 11, -7, 11, -7, 11, -6, 11, -5, 11, -4, 11, -4, 11, -4, 11, -4, 12, -3, 12, -3, 12, -4, 12, -4, 12, -5, 12, -5, 11, -5, 11, -5, 10, -6, 10, -6, 10, -6, 9, -6, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 10, -6, 10, -7, 10, -7, 10, -8, 10, -9, 10, -10, 9, -11, 9, -11, 9, -11, 8, -11, 9, -10, 8, -11, 8, -10, 8, -10, 8, -9, 9, -9, 9, -9, 10, -10, 10, -10, 10, -10, 10, -9, 11, -9, 11, -9, 13, -8, 12, -9, 12]"
1.8,-41.266666666666666,-45.0,7813.0,9375.0,9376.0,9375.0,9375.0,15625.5,6250.5,1.0,11458.833333333334,5396.520245079745,1.0,"[0, 0, -4, 15, -3, 14, -3, 14, -3, 13, -3, 14, -3, 13, -2, 13, -2, 12, -1, 12, 0, 12, 0, 12, 0, 12, 1, 12, 1, 12, 1, 12, 2, 12, 1, 12, 1, 13, 1, 12, 0, 12, 0, 12, -1, 11, -1, 11, -1, 11, -2, 11, -3, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, -2, 12, -2, 11, -3, 12, -3, 12, -5, 12, -6, 12, -6, 12, -7, 12, -7, 11, -7, 12, -6, 12, -7, 12, -6, 11, -6, 12, -5, 12, -6, 12, -5, 12, -5, 13, -5, 13, -5, 13, -4, 13, -4, 13, -4, 15, -3, 14, -4, 15]"
1.5,-38.13333333333333,-46.0,7813.0,7813.0,9376.0,7813.0,9375.0,9376.0,1.0,1.0,9245.333333333334,4148.297026759562,1.0,"[0, 0, -15, 5, -15, 5, -14, 4, -14, 4, -14, 4, -13, 5, -13, 5, -12, 6, -12, 6, -11, 6, -11, 6, -11, 7, -11, 7, -10, 7, -10, 8, -10, 7, -11, 8, -10, 8, -11, 7, -11, 7, -11, 7, -11, 6, -11, 5, -11, 5, -11, 4, -11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 5, -11, 4, -12, 4, -12, 3, -13, 3, -13, 3, -14, 2, -14, 2, -14, 2, -14, 1, -14, 1, -14, 0, -14, 0, -14, 1, -13, 1, -13, 1, -13, 2, -14, 2, -14, 3, -14, 3, -14, 4, -14, 4, -15, 5, -15, 5, -15, 4, -15, 5]"
1.5,-39.666666666666664,-45.0,9375.0,9375.0,9376.0,9375.0,9375.0,10157.0,782.0,1.0,9636.0,3097.2075552019433,1.0,"[0, 0, 15, -3, 14, -3, 14, -3, 14, -3, 14, -4, 13, -4, 12, -4, 12, -4, 12, -5, 11, -5, 11, -6, 11, -6, 10, -6, 11, -7, 10, -7, 10, -7, 11, -7, 11, -7, 11, -6, 11, -6, 11, -5, 11, -5, 11, -4, 10, -4, 10, -3, 10, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, -5, 11, -4, 11, -3, 12, -3, 12, -3, 13, -2, 13, -1, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13, -1, 13, -1, 13, -1, 13, -2, 14, -2, 14, -2, 14, -3, 14, -3, 14, -4, 15, -4, 15, -3]"
1.65,-38.06666666666667,-45.0,7813.0,7813.0,9375.0,7813.0,7813.0,9376.0,1563.0,1562.0,9896.166666666666,5305.317707943816,1.0,"[0, 0, -1, -16, -1, -15, -1, -15, -1, -15, -1, -14, -2, -14, -2, -13, -2, -13, -3, -13, -3, -13, -4, -12, -4, -12, -4, -12, -5, -12, -5, -12, -5, -12, -5, -12, -5, -12, -5, -12, -4, -12, -4, -12, -3, -12, -2, -12, -2, -12, -1, -12, -1, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -11, -2, -12, -2, -12, -1, -13, -1, -13, 0, -13, 1, -14, 1, -14, 2, -14, 2, -13, 3, -13, 3, -13, 3, -13, 2, -13, 2, -13, 1, -13, 1, -13, 0, -13, 0, -14, 0, -14, 0, -14, -1, -15, -1, -15, -1, -15, -1, -15, -1, -16]"
1.35,-38.06666666666667,-45.0,7813.0,7813.0,9375.0,7813.0,8594.0,9376.0,782.0,1.0,8984.916666666666,3300.490311049759,1.0,"[0, 0, 4, 15, 4, 14, 4, 13, 4, 13, 4, 12, 5, 12, 5, 12, 5, 11, 6, 11, 6, 10, 6, 10, 6, 10, 7, 10, 7, 9, 7, 10, 8, 9, 7, 10, 7, 10, 7, 10, 7, 10, 6, 10, 6, 10, 5, 10, 4, 10, 4, 10, 3, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 4, 10, 4, 11, 3, 11, 3, 12, 2, 13, 2, 13, 2, 13, 1, 13, 0, 13, 0, 13, 0, 13, 0, 13, 0, 13, 1, 13, 1, 13, 1, 13, 2, 13, 2, 13, 3, 13, 3, 13, 4, 13, 4, 14, 4, 14, 4, 14, 4, 14]"
