ts_epoch_ms,anchor,anchor_mac,channel,rtt_raw_ns_min,rtt_est_ns,dist_est_m,frame_count,rtt_ps_min,rtt_ps_max,rtt_ps_mean,rtt_ps_median,rtt_ps_std,rssi_min_dbm,rssi_max_dbm,rssi_mean_dbm,rssi_median_dbm,rssi_std_db,csi_len,csi_data_json
1757932836873,A2,24:ec:4a:04:39:15,6,6,6,0.9,15,3125,28126,6458.866666666667,4688,6502.04455912822,-47,-47,-47,-47,0.0,128,"[0, 0, -10, 11, -10, 11, -9, 11, -9, 11, -8, 11, -8, 10, -8, 10, -7, 10, -6, 10, -6, 10, -5, 11, -5, 11, -4, 11, -4, 11, -4, 11, -4, 11, -4, 12, -4, 12, -5, 12, -5, 11, -5, 11, -6, 11, -6, 10, -6, 10, -6, 9, -7, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 9, -7, 9, -8, 9, -9, 9, -9, 9, -10, 9, -11, 8, -11, 8, -11, 8, -12, 7, -11, 7, -11, 7, -11, 7, -11, 7, -11, 7, -10, 8, -10, 8, -10, 9, -10, 9, -10, 9, -10, 9, -10, 10, -10, 11, -10, 11, -10, 11, -10, 11]"
1757932838103,A2,24:ec:4a:04:39:15,6,6,6,0.9,15,3125,17188,6458.933333333333,4688,4903.516322894101,-47,-39,-46.46666666666667,-47,1.9955506062794355,128,"[0, 0, 2, 14, 2, 13, 2, 13, 2, 13, 3, 13, 2, 12, 3, 12, 3, 11, 4, 11, 4, 10, 5, 10, 5, 10, 5, 10, 6, 10, 6, 10, 6, 10, 6, 10, 6, 11, 6, 11, 5, 11, 5, 11, 4, 11, 4, 11, 4, 11, 3, 10, 2, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 3, 11, 2, 11, 2, 12, 1, 12, 1, 13, 0, 13, -1, 13, -1, 13, -2, 13, -1, 13, -1, 13, -1, 13, -1, 12, -1, 12, -1, 12, 0, 13, 0, 12, 1, 13, 1, 13, 1, 13, 2, 13, 2, 13, 3, 14, 3, 14, 3, 14]"
1757932841790,A2,24:ec:4a:04:39:15,6,7,7,1.05,15,3125,29688,7917.266666666666,3126,7832.605028270536,-47,-38,-45.333333333333336,-47,3.339993346633426,128,"[0, 0, 10, 10, 10, 9, 10, 9, 10, 9, 10, 9, 10, 8, 10, 8, 10, 7, 9, 6, 10, 6, 10, 5, 10, 5, 10, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 4, 11, 5, 11, 5, 11, 6, 10, 6, 10, 6, 10, 6, 9, 7, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 9, 7, 8, 8, 8, 8, 8, 9, 8, 10, 7, 10, 7, 10, 7, 11, 6, 11, 6, 11, 6, 11, 6, 11, 6, 11, 7, 10, 7, 10, 7, 10, 8, 10, 8, 10, 9, 10, 9, 10, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
1757932843026,A2,24:ec:4a:04:39:15,6,4,4,0.6,15,3125,17188,4792.133333333333,4688,3397.830206993215,-47,-47,-47,-47,0.0,128,"[0, 0, 1, 15, 1, 14, 1, 14, 1, 13, 1, 13, 2, 12, 2, 12, 3, 12, 3, 11, 3, 11, 4, 11, 4, 10, 5, 11, 5, 10, 5, 10, 5, 11, 5, 11, 5, 11, 5, 11, 5, 11, 4, 11, 3, 11, 3, 11, 2, 11, 2, 11, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 2, 11, 1, 11, 1, 12, 0, 12, 0, 13, -1, 13, -2, 13, -2, 13, -3, 13, -3, 13, -3, 13, -2, 12, -2, 12, -2, 12, -2, 12, -1, 12, -1, 12, -1, 13, 0, 13, 0, 13, 1, 14, 1, 14, 1, 14, 1, 14, 1, 14]"
1757932845486,A2,24:ec:4a:04:39:15,6,5,5,0.75,15,3125,17188,5729.733333333334,4688,4256.698164331389,-47,-47,-47,-47,0.0,128,"[0, 0, 14, -4, 14, -4, 13, -4, 13, -4, 13, -5, 13, -4, 12, -5, 11, -5, 11, -5, 10, -6, 10, -7, 10, -7, 9, -8, 10, -8, 10, -7, 10, -8, 10, -8, 10, -8, 11, -8, 10, -7, 10, -7, 11, -6, 10, -6, 11, -6, 10, -5, 10, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, -5, 11, -4, 11, -3, 12, -3, 12, -3, 13, -2, 13, -1, 13, 0, 13, 0, 13, 0, 14, -1, 13, 0, 13, 0, 13, -1, 13, -1, 12, -1, 12, -1, 12, -2, 13, -2, 14, -2, 13, -2, 14, -3, 13, -3, 15, -5, 14, -5, 15, -4]"
1757932847944,A2,24:ec:4a:04:39:15,6,3,3,0.45,15,1563,4688,3854.5333333333333,4688,966.1026078470593,-47,-47,-47,-47,0.0,128,"[0, 0, -15, -1, -15, -1, -15, 0, -14, 0, -14, 0, -14, 0, -14, 1, -13, 1, -12, 1, -12, 2, -12, 2, -12, 3, -12, 3, -12, 4, -12, 4, -12, 4, -12, 4, -13, 4, -13, 3, -13, 3, -13, 3, -13, 2, -12, 2, -12, 1, -12, 1, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 2, -12, 1, -13, 0, -13, -1, -13, -1, -14, -2, -14, -2, -14, -3, -14, -3, -14, -4, -14, -4, -13, -4, -13, -4, -13, -4, -13, -3, -13, -3, -13, -3, -13, -2, -14, -2, -14, -2, -14, -1, -15, -1, -15, -1, -15, 0, -15, -1, -15, 0]"
1757932849164,A2,24:ec:4a:04:39:15,6,6,6,0.9,15,3125,17188,6563,4688,5358.258821669591,-47,-47,-47,-47,0.0,128,"[0, 0, 14, 1, 14, 1, 14, 1, 13, 1, 13, 0, 13, 0, 12, 0, 12, -1, 12, -1, 11, -2, 11, -3, 11, -3, 11, -3, 11, -4, 11, -4, 11, -4, 12, -4, 12, -4, 12, -3, 12, -3, 12, -2, 12, -2, 12, -2, 11, -1, 11, -1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, -2, 11, -1, 12, -1, 12, 0, 12, 1, 12, 2, 13, 2, 13, 3, 13, 4, 13, 4, 12, 4, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 2, 12, 2, 12, 2, 13, 2, 13, 1, 14, 1, 14, 1, 14, 0, 14, 0, 14, 0]"
1757932852849,A2,24:ec:4a:04:39:15,6,4,4,0.6,15,3125,17188,4479.666666666667,3126,3464.226929954535,-47,-47,-47,-47,0.0,128,"[0, 0, 14, 3, 14, 2, 14, 2, 14, 2, 13, 2, 13, 2, 13, 1, 12, 1, 12, 0, 12, -1, 12, -1, 12, -2, 12, -2, 12, -2, 12, -3, 12, -3, 12, -3, 12, -2, 12, -2, 12, -1, 12, -1, 12, -1, 12, 0, 12, 0, 11, 1, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 11, 1, 12, 1, 12, 2, 12, 3, 12, 3, 12, 4, 12, 5, 12, 5, 12, 6, 12, 6, 12, 6, 12, 6, 12, 5, 11, 5, 12, 5, 12, 4, 12, 4, 12, 3, 13, 3, 13, 3, 14, 3, 14, 3, 14, 2, 15, 3, 15, 3]"
1757932854075,A2,24:ec:4a:04:39:15,6,5,5,0.75,15,3125,17188,5833.8,4688,4249.130643633667,-47,-39,-46.46666666666667,-47,1.9955506062794355,128,"[0, 0, -11, 10, -11, 9, -11, 9, -10, 9, -10, 9, -10, 9, -9, 9, -8, 9, -8, 9, -7, 9, -7, 10, -6, 10, -6, 10, -6, 10, -6, 10, -6, 11, -6, 11, -6, 11, -7, 11, -7, 11, -7, 10, -7, 10, -8, 9, -8, 9, -8, 8, -8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 8, -8, 8, -9, 8, -10, 8, -11, 8, -11, 7, -12, 7, -12, 7, -12, 6, -12, 6, -12, 6, -12, 5, -12, 5, -12, 5, -12, 6, -11, 6, -11, 6, -11, 7, -11, 7, -11, 8, -11, 8, -11, 9, -11, 9, -12, 9, -11, 9, -11, 10]"
1757932857765,A2,24:ec:4a:04:39:15,6,8,8,1.2,15,3125,17188,8750.4,4688,6296.72369623018,-48,-39,-46.53333333333333,-47,2.0286832072937253,128,"[0, 0, 8, 13, 8, 12, 7, 12, 7, 11, 8, 11, 8, 10, 8, 10, 8, 9, 8, 9, 8, 8, 9, 8, 9, 7, 9, 7, 10, 7, 10, 7, 10, 7, 10, 7, 10, 8, 10, 8, 9, 8, 9, 8, 9, 8, 8, 8, 8, 9, 7, 9, 6, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 9, 7, 9, 7, 10, 6, 10, 6, 12, 5, 12, 5, 12, 5, 13, 4, 12, 4, 13, 4, 13, 4, 12, 4, 12, 4, 12, 4, 12, 5, 12, 5, 11, 6, 12, 6, 12, 7, 11, 7, 12, 7, 12, 8, 12, 8, 12, 8, 12]"
